date,event_summary,recommended_action,category,event_type,impact_level,country,city,latitude,longitude
2025-08-12,Robbery reported in Chennai affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,India,Chennai,13.0827,80.2707
2025-05-11,Threat reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Security,Threat,Medium,Singapore,Singapore,1.3521,103.8198
2025-07-06,Crime reported in Hyderabad affecting local operations,Increase monitoring and prepare contingency plan,Security,Crime,Medium,India,Hyderabad,17.385,78.4867
2025-12-06,Water Disruption reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,UAE,Dubai,25.2048,55.2708
2025-12-08,Water Disruption reported in Hyderabad affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,India,Hyderabad,17.385,78.4867
2025-10-11,Threat reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Security,Threat,High,UAE,Abu Dhabi,24.4539,54.3773
2025-12-13,Threat reported in Chicago affecting local operations,Immediate escalation and crisis response required,Security,Threat,Critical,USA,Chicago,41.8781,-87.6298
2025-06-05,Threat reported in Dallas affecting local operations,Monitor situation and inform local teams,Security,Threat,Low,USA,Dallas,32.7767,-96.797
2025-08-27,Threat reported in London affecting local operations,Notify leadership and activate continuity actions,Security,Threat,High,UK,London,51.5074,-0.1278
2026-02-11,Road Blockade reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-02-17,Water Disruption reported in New York affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,USA,New York,40.7128,-74.006
2025-01-13,Protest reported in Dallas affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Protest,Medium,USA,Dallas,32.7767,-96.797
2025-08-22,Threat reported in Pune affecting local operations,Monitor situation and inform local teams,Security,Threat,Low,India,Pune,18.5204,73.8567
2025-05-05,Robbery reported in Dubai affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,UAE,Dubai,25.2048,55.2708
2025-04-01,Storm reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Storm,Medium,USA,New York,40.7128,-74.006
2026-04-15,Earthquake reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,Singapore,Singapore,1.3521,103.8198
2026-01-22,Strike reported in Bengaluru affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Strike,High,India,Bengaluru,12.9716,77.5946
2026-01-16,Explosion reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Explosion,Medium,UAE,Abu Dhabi,24.4539,54.3773
2026-01-28,Power Outage reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,UAE,Abu Dhabi,24.4539,54.3773
2025-02-09,Strike reported in Singapore affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Strike,Critical,Singapore,Singapore,1.3521,103.8198
2026-04-03,Network Failure reported in London affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Network Failure,High,UK,London,51.5074,-0.1278
2025-07-16,Protest reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Protest,Medium,Singapore,Singapore,1.3521,103.8198
2025-06-19,Storm reported in Chicago affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Storm,Critical,USA,Chicago,41.8781,-87.6298
2026-03-03,Crime reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Security,Crime,Medium,Singapore,Singapore,1.3521,103.8198
2026-03-15,Leak reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Industrial Incident,Leak,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-06-02,Crime reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,Singapore,Singapore,1.3521,103.8198
2025-09-07,Leak reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,UAE,Abu Dhabi,24.4539,54.3773
2025-07-19,Robbery reported in Dallas affecting local operations,Monitor situation and inform local teams,Security,Robbery,Low,USA,Dallas,32.7767,-96.797
2026-03-07,Threat reported in Birmingham affecting local operations,Increase monitoring and prepare contingency plan,Security,Threat,Medium,UK,Birmingham,52.4862,-1.8904
2026-04-10,Leak reported in Dubai affecting local operations,Monitor situation and inform local teams,Industrial Incident,Leak,Low,UAE,Dubai,25.2048,55.2708
2025-03-11,Earthquake reported in Dubai affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Earthquake,Critical,UAE,Dubai,25.2048,55.2708
2025-06-17,Storm reported in Dubai affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Storm,Critical,UAE,Dubai,25.2048,55.2708
2025-05-23,Network Failure reported in San Francisco affecting local operations,Immediate escalation and crisis response required,Infrastructure,Network Failure,Critical,USA,San Francisco,37.7749,-122.4194
2026-01-19,Storm reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Natural Hazard,Storm,Low,UAE,Abu Dhabi,24.4539,54.3773
2026-02-04,Power Outage reported in Singapore affecting local operations,Monitor situation and inform local teams,Infrastructure,Power Outage,Low,Singapore,Singapore,1.3521,103.8198
2025-11-15,Protest reported in Mumbai affecting local operations,Monitor situation and inform local teams,Civil Unrest,Protest,Low,India,Mumbai,19.076,72.8777
2025-10-16,Strike reported in Chicago affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,USA,Chicago,41.8781,-87.6298
2025-11-07,Network Failure reported in San Francisco affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Network Failure,Medium,USA,San Francisco,37.7749,-122.4194
2025-10-24,Strike reported in Singapore affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,Singapore,Singapore,1.3521,103.8198
2025-07-23,Leak reported in Delhi affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Leak,Critical,India,Delhi,28.6139,77.209
2025-02-22,Leak reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,USA,New York,40.7128,-74.006
2025-06-27,Fire reported in Birmingham affecting local operations,Monitor situation and inform local teams,Industrial Incident,Fire,Low,UK,Birmingham,52.4862,-1.8904
2025-01-07,Power Outage reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,Singapore,Singapore,1.3521,103.8198
2025-11-22,Storm reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Storm,High,UAE,Abu Dhabi,24.4539,54.3773
2025-11-12,Crime reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UAE,Dubai,25.2048,55.2708
2025-06-15,Robbery reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,Singapore,Singapore,1.3521,103.8198
2026-01-20,Network Failure reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Network Failure,Medium,USA,New York,40.7128,-74.006
2026-03-12,Power Outage reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Infrastructure,Power Outage,Critical,UAE,Abu Dhabi,24.4539,54.3773
2026-02-13,Crime reported in London affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UK,London,51.5074,-0.1278
2025-10-12,Water Disruption reported in Manchester affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,UK,Manchester,53.4808,-2.2426
2026-01-04,Protest reported in Chennai affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Protest,Medium,India,Chennai,13.0827,80.2707
2025-11-27,Fire reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Fire,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-04-24,Flood reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Flood,High,UAE,Abu Dhabi,24.4539,54.3773
2025-08-31,Water Disruption reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,UAE,Dubai,25.2048,55.2708
2025-06-30,Threat reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Security,Threat,High,Singapore,Singapore,1.3521,103.8198
2025-03-03,Network Failure reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Network Failure,Medium,UAE,Abu Dhabi,24.4539,54.3773
2025-04-09,Earthquake reported in Dallas affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,USA,Dallas,32.7767,-96.797
2025-02-21,Water Disruption reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,USA,San Francisco,37.7749,-122.4194
2025-06-04,Strike reported in Dallas affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Strike,Medium,USA,Dallas,32.7767,-96.797
2025-01-24,Fire reported in Hyderabad affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Fire,High,India,Hyderabad,17.385,78.4867
2025-11-23,Water Disruption reported in Chennai affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Water Disruption,Medium,India,Chennai,13.0827,80.2707
2025-08-29,Earthquake reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Earthquake,High,UAE,Dubai,25.2048,55.2708
2025-05-10,Power Outage reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Infrastructure,Power Outage,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-02-07,Storm reported in Dubai affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Storm,Critical,UAE,Dubai,25.2048,55.2708
2025-02-13,Protest reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Protest,High,Singapore,Singapore,1.3521,103.8198
2026-02-02,Explosion reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Explosion,Medium,USA,New York,40.7128,-74.006
2026-03-17,Robbery reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,Singapore,Singapore,1.3521,103.8198
2025-11-09,Water Disruption reported in Singapore affecting local operations,Monitor situation and inform local teams,Infrastructure,Water Disruption,Low,Singapore,Singapore,1.3521,103.8198
2025-03-22,Strike reported in Pune affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,India,Pune,18.5204,73.8567
2025-01-02,Fire reported in Chicago affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Fire,Medium,USA,Chicago,41.8781,-87.6298
2025-01-17,Explosion reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Explosion,High,UAE,Abu Dhabi,24.4539,54.3773
2025-02-06,Water Disruption reported in Dallas affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,USA,Dallas,32.7767,-96.797
2025-08-06,Leak reported in Dallas affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,USA,Dallas,32.7767,-96.797
2026-04-11,Road Blockade reported in Chennai affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Road Blockade,Medium,India,Chennai,13.0827,80.2707
2026-02-10,Flood reported in London affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Flood,Medium,UK,London,51.5074,-0.1278
2025-03-05,Explosion reported in Birmingham affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Explosion,Critical,UK,Birmingham,52.4862,-1.8904
2025-08-13,Robbery reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-11-06,Storm reported in Chennai affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Storm,High,India,Chennai,13.0827,80.2707
2026-01-27,Flood reported in London affecting local operations,Monitor situation and inform local teams,Natural Hazard,Flood,Low,UK,London,51.5074,-0.1278
2025-09-23,Flood reported in Birmingham affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Flood,Critical,UK,Birmingham,52.4862,-1.8904
2025-11-22,Road Blockade reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-06-20,Robbery reported in Dubai affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,UAE,Dubai,25.2048,55.2708
2025-07-30,Flood reported in Birmingham affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Flood,High,UK,Birmingham,52.4862,-1.8904
2025-08-21,Threat reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Security,Threat,Low,UAE,Abu Dhabi,24.4539,54.3773
2026-01-31,Network Failure reported in Delhi affecting local operations,Monitor situation and inform local teams,Infrastructure,Network Failure,Low,India,Delhi,28.6139,77.209
2025-01-28,Explosion reported in Dubai affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Explosion,Critical,UAE,Dubai,25.2048,55.2708
2026-01-25,Explosion reported in Dallas affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Explosion,Critical,USA,Dallas,32.7767,-96.797
2026-04-20,Water Disruption reported in Pune affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Water Disruption,Medium,India,Pune,18.5204,73.8567
2025-11-19,Crime reported in Manchester affecting local operations,Monitor situation and inform local teams,Security,Crime,Low,UK,Manchester,53.4808,-2.2426
2025-10-10,Strike reported in Singapore affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,Singapore,Singapore,1.3521,103.8198
2025-03-02,Protest reported in Dubai affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,UAE,Dubai,25.2048,55.2708
2025-08-01,Water Disruption reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,USA,San Francisco,37.7749,-122.4194
2025-07-16,Strike reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Strike,Medium,UAE,Abu Dhabi,24.4539,54.3773
2025-06-24,Storm reported in Chicago affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Storm,Critical,USA,Chicago,41.8781,-87.6298
2026-03-05,Storm reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Storm,High,Singapore,Singapore,1.3521,103.8198
2025-06-26,Strike reported in Singapore affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Strike,Critical,Singapore,Singapore,1.3521,103.8198
2026-04-23,Explosion reported in Birmingham affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Explosion,Critical,UK,Birmingham,52.4862,-1.8904
2025-04-30,Road Blockade reported in London affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,UK,London,51.5074,-0.1278
2025-12-28,Water Disruption reported in Dubai affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,UAE,Dubai,25.2048,55.2708
2025-03-06,Strike reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-09-27,Storm reported in Singapore affecting local operations,Monitor situation and inform local teams,Natural Hazard,Storm,Low,Singapore,Singapore,1.3521,103.8198
2025-02-08,Strike reported in Dubai affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Strike,Medium,UAE,Dubai,25.2048,55.2708
2025-11-29,Water Disruption reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-11-17,Explosion reported in Delhi affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Explosion,High,India,Delhi,28.6139,77.209
2025-11-20,Fire reported in Dubai affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Fire,Medium,UAE,Dubai,25.2048,55.2708
2026-01-25,Storm reported in London affecting local operations,Monitor situation and inform local teams,Natural Hazard,Storm,Low,UK,London,51.5074,-0.1278
2026-04-08,Road Blockade reported in Bengaluru affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Road Blockade,High,India,Bengaluru,12.9716,77.5946
2025-07-03,Power Outage reported in Mumbai affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,India,Mumbai,19.076,72.8777
2025-10-17,Protest reported in Manchester affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,UK,Manchester,53.4808,-2.2426
2025-11-14,Protest reported in Chicago affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,USA,Chicago,41.8781,-87.6298
2025-08-25,Fire reported in San Francisco affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Fire,Medium,USA,San Francisco,37.7749,-122.4194
2026-04-06,Water Disruption reported in Manchester affecting local operations,Monitor situation and inform local teams,Infrastructure,Water Disruption,Low,UK,Manchester,53.4808,-2.2426
